origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3970,2e-08,695.43,20.0,-2.6696,0.56476,5.5207e-10,0
3971,2e-08,695.45,20.0,-2.6702,0.90725,4.8419e-10,0
3972,2e-08,695.45,20.0,-2.6723,0.82842,-3.4354e-09,0
3973,2e-08,695.42,20.0,-2.6806,0.044317,-8.603700000000001e-11,0
3974,2e-08,695.44,20.0,-2.6856,0.69912,-6.261800000000001e-09,0
3975,2e-08,695.43,20.0,-2.6875,0.26854,2.6271999999999998e-11,0
3976,2e-08,695.44,20.0,-2.687,0.5945699999999999,3.6326999999999997e-09,0
3977,2e-08,695.44,20.0,-2.6875,0.77979,-4.0254e-09,0
3978,2e-08,695.46,20.0,-2.6962,1.052,1.3045000000000002e-09,0
3979,2e-08,695.45,20.0,-2.6972,0.9415399999999999,-5.362899999999999e-09,0
3980,2e-08,695.43,20.0,-2.6979,0.54795,1.7327e-09,0
3981,2e-08,695.44,20.0,-2.7029,0.7309,-2.2956e-09,0
3982,2e-08,695.45,20.0,-2.7088,0.85246,-2.6451e-10,0
3983,2e-08,695.43,20.0,-2.7082,0.24664,1.2065e-09,0
3984,2e-08,695.45,20.0,-2.7153,0.81834,-2.6335999999999997e-09,0
1059,2e-08,245.46,20.0,-1.0928,1.2039,2.0034000000000003e-09,0
3387,2e-08,692.67,20.0,-1.1123,0.62662,1.5403e-09,0
3560,2e-08,690.32,20.0,-0.98064,0.56404,-3.0304e-10,0
3408,2e-08,694.49,20.0,-1.4494,0.75779,-4.2436000000000005e-09,0
3037,2e-08,246.26,20.0,-1.5339,1.263,3.9985e-09,0
3574,2e-08,689.24,20.0,-0.96339,0.5415300000000001,1.8709000000000002e-09,0
3541,2e-08,694.68,20.0,-1.4422,0.76975,3.203e-10,0
3576,2e-08,687.8,20.0,-0.90833,0.49641,8.186300000000001e-10,0
3584,2e-08,687.63,20.0,-0.9121100000000001,0.48011000000000004,-5.657300000000001e-10,0
3585,2e-08,689.2,20.0,-0.9677399999999999,0.5091100000000001,3.1651e-09,0
3596,2e-08,690.76,20.0,-1.0437,0.5236,-3.9732e-09,0
3615,2e-08,687.86,20.0,-0.9227,0.36004,1.0138e-09,0
3594,2e-08,691.34,20.0,-1.0796,0.55518,-3.9273000000000005e-10,0
3622,2e-08,687.73,20.0,-0.92763,0.32561,8.625e-10,0
3630,2e-08,686.56,20.0,-0.89981,0.26411999999999997,-2.5755999999999998e-11,0
3606,2e-08,691.14,20.0,-1.0756,0.50513,-4.1904999999999995e-09,0
3599,2e-08,692.91,20.0,-1.2255,0.65757,1.9633e-09,0
3631,2e-08,688.09,20.0,-0.9530799999999999,0.28872,-3.6978e-10,0
3637,2e-08,687.31,20.0,-0.92994,0.22949,1.2345e-10,0
3624,2e-08,689.59,20.0,-1.0264,0.38531,-1.6536e-12,0
