"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
545,1687,0,0.25092,0.11195,-9.7449e-11
502,1688,0,0.24719,0.10266,2.6803e-10
486,1689,0,0.24212,0.12487,-7.1996e-08
428,1690,0,0.23737,0.098396,8.6305e-11
397,1691,0,0.23259,0.10242,-1.7869e-10
417,1692,0,0.23207,0.1263,-1.7558e-07
383,1693,0,0.22654,0.12764,8.1807e-08
343,1694,0,0.22178,0.12138,-3.1319e-07
345,1695,0,0.22126,0.12401,1.1821e-07
298,1696,0,0.21612,0.10939,9.0449e-11
236,1697,0,0.20906,0.1188,2.0705e-10
208,1698,0,0.20197,0.12766,-2.0091e-08
129,1699,0,0.19316,0.11658,-2.03e-10
47,1700,0,0.18298,0.10253,3.0052e-10
2402,1104,1,4.739,0.084472,-5.4475e-06
2513,1123,1,4.4562,0.090664,2.596e-06
2197,1010,1,4.5376,0.075044,-3.8911e-06
664,1145,1,4.4292,0.11313,-8.0553e-07
1946,1140,1,4.4956,0.061451,2.6679e-07
1948,1134,1,4.4003,0.062051,2.8354e-08
2350,1133,1,4.6424,0.083484,3.093e-08
2353,1125,1,4.4701,0.082724,-9.2619e-08
1947,1152,1,4.4056,0.06218,4.6576e-07
1288,981,0,4.4332,0.026044,2.3572e-06
719,1150,1,4.3467,0.11109,-1.1053e-07
2048,1144,1,4.3302,0.0676,9.9453e-07
895,1169,0,4.3248,0.00096065,1.046e-06
2406,1151,1,4.4696,0.084757,5.4556e-07
1950,1153,1,4.2486,0.062695,5.0249e-07
1744,1168,1,4.432,0.05056,1.871e-06
1165,1156,0,4.4683,0.018209,5.8162e-07
2517,1132,1,4.1539,0.089765,9.4415e-07
895,1179,0,4.3208,0.0018345,8.0456e-07
2248,1166,1,4.5422,0.077434,1.018e-06
1248,1174,0,4.3705,0.024307,-4.0076e-06
2736,1154,1,4.1607,0.10085,2.2612e-06
1796,1181,1,4.2878,0.054436,1.3916e-07
2252,1173,1,4.2537,0.078262,-2.4237e-06
2577,1176,1,3.7699,0.093317,-6.5876e-08
893,1163,0,4.4098,4.587e-05,-3.3153e-07
1746,1185,0,4.2821,0.051298,2.5824e-06
2053,1175,1,4.0155,0.066332,-5.1309e-07
1646,1183,0,4.4135,0.046392,1.9533e-08
895,1180,0,4.2557,0.0023916,-2.5138e-06
2050,1182,1,4.1917,0.066771,7.496e-07
2005,1186,1,3.9041,0.063678,-2.1726e-07
1604,1191,0,3.9948,0.0431,-2.3117e-07
1050,1171,0,4.1377,0.010244,-1.7658e-06
1900,1195,1,4.1226,0.058165,-7.0958e-07
1125,1170,0,4.4114,0.016097,1.6845e-07
1899,1187,1,4.2236,0.060049,2.0249e-06
933,1109,0,4.2997,0.0025396,1.7129e-06
1422,1205,0,3.9865,0.032688,4.0228e-06
933,1196,0,4.2935,0.0047907,-2.5516e-07
2208,1161,1,3.7216,0.074534,2.9668e-07
897,1198,0,4.1205,0.0013628,-5.1779e-07
1899,1190,1,4.2037,0.058935,-5.4947e-06
1248,1184,0,4.3891,0.024574,-1.6646e-06
896,1199,0,4.1861,0.0011675,-8.3936e-07
1951,1189,1,4.1439,0.062772,1.8834e-08
1047,1177,0,4.359,0.010624,-8.6488e-08
1466,1206,0,3.9958,0.036378,3.7304e-07
1375,1203,0,4.2201,0.030699,1.2003e-06
1652,1197,0,4.0078,0.047351,-1.8599e-06
2358,1200,1,4.1002,0.083276,1.4266e-06
1167,1100,0,4.314,0.019295,-3.5552e-07
1652,1212,0,4.0203,0.047549,1.2814e-08
898,1210,0,4.0755,0.00044808,-4.7234e-08
1130,1209,0,4.0493,0.015879,-6.8598e-07
2157,1188,1,3.7511,0.071229,4.0599e-06
974,1214,0,4.0597,0.0069593,-6.7111e-07
1560,1228,0,3.8041,0.041013,-2.5942e-08
1251,1204,0,4.1293,0.024686,5.7969e-07
1171,1202,0,3.9751,0.019749,2.1176e-07
1559,1215,0,3.8651,0.041703,6.1023e-07
897,1122,0,4.1393,0.0022594,-2.4328e-07
937,1221,0,4.0008,0.003386,3.4303e-07
1959,1211,1,3.6128,0.061336,-4.989e-08
1211,1193,0,4.0908,0.019986,1.3513e-07
1174,1165,0,3.8089,0.018696,4.4238e-06
1515,1207,0,3.6816,0.03916,7.8162e-07
898,1213,0,4.0777,0.00060759,-2.5919e-07
1657,1216,0,3.6988,0.046469,1.6432e-06
898,1217,0,4.0445,3.1169e-06,-2.6994e-08
1093,1236,0,3.8796,0.013933,3.8799e-06
1013,1231,0,3.9957,0.0082593,1.7182e-06
1513,1225,0,3.7987,0.039071,-1.7037e-07
2156,1224,1,3.7918,0.071384,1.6941e-06
1092,1227,0,3.9082,0.01367,5.5346e-07
899,1223,0,3.9747,9.783e-05,1.4692e-07
2103,1178,1,4.0253,0.069489,9.9436e-07
2688,1244,1,3.6521,0.098821,7.2347e-07
1013,1194,0,3.9819,0.0085116,8.9542e-07
1803,1241,0,3.7833,0.053424,2.1226e-06
1560,1245,0,3.7803,0.040242,-1.3795e-06
1053,1229,0,3.9293,0.0098372,9.1552e-07
938,1220,0,3.9379,0.0033068,7.2047e-08
1215,1246,0,3.7907,0.0223,1.8266e-07
1752,1230,1,3.8628,0.052911,-8.0005e-07
943,1247,0,3.6063,0.004538,-4.4071e-07
2314,1254,1,3.5816,0.080614,-2.9207e-07
903,1243,0,3.7685,0.0022476,-3.4719e-07
900,1232,0,3.9078,2.222e-05,-1.5e-07
1756,1250,0,3.604,0.050542,2.6151e-07
1340,1251,0,3.7281,0.029502,6.0929e-08
1055,1252,0,3.8088,0.011756,1.5788e-06
901,1240,0,3.8772,0.00016553,-5.7479e-08
1706,1260,0,3.5934,0.049492,3.4604e-08
1095,1234,0,3.7738,0.013861,-2.5495e-07
1093,1233,0,3.8756,0.013634,1.4001e-07
870,1208,1,3.298,0.10177,-7.1209e-08
1340,1242,0,3.7375,0.029509,3.204e-08
1178,1235,0,3.5443,0.018594,6.4508e-07
1097,1259,0,3.6445,0.013629,-1.7846e-06
1661,1226,0,3.431,0.046646,2.9882e-06
1432,1261,0,3.3712,0.033547,-2.4785e-06
1709,1258,0,3.4425,0.048202,-2.2886e-06
943,1218,0,3.6293,0.0041844,-2.1711e-06
1565,1255,0,3.4989,0.041617,-2.0638e-07
1475,1264,0,3.4212,0.035175,-4.8342e-07
1217,1249,0,3.7129,0.021941,-2.5152e-07
1472,1266,0,3.6022,0.035148,1.5475e-06
1710,1274,0,3.4096,0.050312,5.1596e-08
1521,1201,0,3.3482,0.039344,2.6496e-07
1567,1158,0,3.3698,0.040907,-2.5511e-08
1017,1248,0,3.7157,0.0077593,-2.9676e-07
1387,1277,0,3.454,0.030643,1.2587e-06
1059,1265,0,3.5823,0.012038,1.87e-07
1916,1270,1,3.1904,0.060398,-2.7005e-06
1714,1269,0,3.1825,0.050124,-1.9775e-06
2215,1281,1,3.3167,0.075777,3.5954e-08
1137,1262,0,3.593,0.014808,-1.5284e-07
1097,1268,0,3.6254,0.014592,-3.3676e-07
1664,1238,0,3.2542,0.04606,8.2717e-10
904,1257,0,3.6609,0.00080064,5.6534e-07
1059,1267,0,3.5707,0.012137,-1.2136e-07
