origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster,nodeCluster
3360,3.552e-08,235.54,35.52,5.7744,-0.2901664723732922,0.7972258214649344,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.4241950027438281,0.7347272907325298,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.5453345826090217,0.6499044430611658,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.6499044471342535,0.5453345777549047,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.7347272939008299,0.4241949972561717,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.7972258236321792,0.2901664664188361,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.8355010501281968,0.14732137433068054,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.84839,-3.16829989610219e-09,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.8355010490278576,-0.14732138057101354,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.7972258214649344,-0.2901664723732921,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.7347272907325298,-0.4241950027438284,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.6499044430611658,-0.5453345826090216,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.5453345777549047,-0.6499044471342535,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.4241949972561721,-0.7347272939008298,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.2901664664188358,-0.7972258236321792,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,-0.14732137433068065,-0.8355010501281968,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,3.168299844153285e-09,-0.84839,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.14732138057101313,-0.8355010490278577,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.2901664723732925,-0.7972258214649344,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.4241950027438284,-0.7347272907325298,1,2,6
