Area,Length,Points_0,Points_1,Points_2,Points_Magnitude,VertexCount,Volume,Block Number,vtkOriginalCellIds,Point ID,vtkOriginalPointIds
0,0,0.962665,0.0536914,0.0222397,0.964417,0,9.73498e-08,1,2548,25,30527
0,0,1.67008,-0.0611429,-0.0444229,1.67179,0,3.62515e-07,1,1316572,26,2324873
0,0,1.67008,-0.0623242,-0.0452812,1.67186,0,3.45422e-07,1,24952,27,101162
0,0,1.63024,-0.0613326,-0.0445607,1.632,0,3.45422e-07,1,24952,28,101161
0,0,1.63024,-0.0601746,-0.0437194,1.63193,0,3.61617e-07,1,1747133,29,2324872
0,0,1.67008,-0.057469,-0.0490832,1.67179,0,3.62515e-07,1,1316572,30,2325001
0,0,1.67008,-0.0585794,-0.0500315,1.67186,0,3.45422e-07,1,24952,31,101546
0,0,1.63024,-0.0576473,-0.0492355,1.632,0,3.45422e-07,1,24952,32,101545
0,0,1.63024,-0.0565589,-0.0483059,1.63193,0,3.61617e-07,1,1747133,33,2325000
0,0,1.67008,-0.0635054,-0.0461393,1.67193,0,3.51933e-07,1,25081,34,101290
0,0,1.63024,-0.0624904,-0.0454019,1.63206,0,3.51933e-07,1,25081,35,101289
0,0,1.67008,-0.0596895,-0.0509797,1.67193,0,3.51933e-07,1,25081,36,101674
0,0,1.63024,-0.0587355,-0.0501649,1.63206,0,3.51933e-07,1,25081,37,101673
0,0,1.67008,-0.0646865,-0.0469975,1.672,0,3.67422e-07,1,25232,38,101418
0,0,1.63024,-0.0636482,-0.0462431,1.63213,0,3.58465e-07,1,25210,39,101417
0,0,1.67008,-0.0607997,-0.0519279,1.672,0,3.67422e-07,1,25232,40,101802
0,0,1.63024,-0.0598238,-0.0510943,1.63213,0,3.58465e-07,1,25210,41,101801
0,0,1.67008,-0.0658677,-0.0478557,1.67207,0,3.78151e-07,1,481246,42,36008
0,0,1.63024,-0.064806,-0.0470843,1.6322,0,3.61732e-07,1,25275,43,36009
0,0,1.67008,-0.0619099,-0.0528761,1.67207,0,3.78151e-07,1,481246,44,36136
0,0,1.63024,-0.060912,-0.0520238,1.6322,0,3.61732e-07,1,25275,45,36137
0,0,1.71102,-0.0657531,-0.0477724,1.71294,0,3.85336e-07,1,25276,46,101419
0,0,1.71102,-0.0669582,-0.048648,1.71302,0,3.8636e-07,1,709232,47,36007
0,0,1.71102,-0.0618022,-0.0527841,1.71294,0,3.85336e-07,1,25276,48,101803
0,0,1.71102,-0.0629349,-0.0537515,1.71302,0,3.8636e-07,1,709232,49,36135
0,0,0.939594,0.0554235,0.0180082,0.941399,0,9.33768e-08,1,154174,50,196958
0,0,0.91701,0.0547005,0.0177733,0.918812,0,9.33768e-08,1,154174,51,196957
0,0,0.939594,0.0538397,0.0223011,0.941399,0,9.33768e-08,1,154174,52,224782
0,0,0.91701,0.0531374,0.0220102,0.918812,0,9.33768e-08,1,154174,53,224781
0,0,0.939594,0.0562946,0.0182912,0.941456,0,9.43794e-08,1,154363,54,197146
