,Points:0,Points:1,Points:2
193,0.19337000000000001,0.03818889356803869,0.20604891422120866
194,0.19337000000000001,0.0018287000000000127,0.20955
195,0.19337000000000001,-0.03458705769217182,0.20668401506620768
196,0.19337000000000001,-0.06995190513826267,0.19753804092178673
197,0.19337000000000001,-0.10319129934409935,0.18238997336302912
198,0.19337000000000001,-0.13329527813668265,0.1617000787574156
199,0.19337000000000001,-0.15934914735374803,0.136097009082946
200,0.19337000000000001,-0.1805612733630291,0.10635870065590058
201,0.19337000000000001,-0.19628713644958742,0.0733887369295251
202,0.19337000000000001,-0.20604891422120866,0.03818889356803866
203,0.19337000000000001,-0.20955,0.0018287000000000255
204,0.19337000000000001,-0.20668401506620768,-0.03458705769217185
205,0.19337000000000001,-0.19753804092178673,-0.06995190513826267
206,0.19337000000000001,-0.18238997336302912,-0.10319129934409942
207,0.19337000000000001,-0.1617000787574156,-0.13329527813668263
208,0.19337000000000001,-0.136097009082946,-0.15934914735374803
209,0.19337000000000001,-0.1063587006559007,-0.18056127336302907
210,0.19337000000000001,-0.07338873692952504,-0.19628713644958745
211,0.19337000000000001,-0.03818889356803867,-0.20604891422120866
212,0.19337000000000001,-0.0018287000000000385,-0.20955
213,0.19337000000000001,0.03458705769217175,-0.2066840150662077
214,0.19337000000000001,0.06995190513826274,-0.1975380409217867
215,0.19337000000000001,0.10319129934409942,-0.18238997336302912
216,0.19337000000000001,0.13329527813668263,-0.16170007875741563
217,0.19337000000000001,0.159349147353748,-0.13609700908294603
218,0.19337000000000001,0.18056127336302905,-0.1063587006559007
219,0.19337000000000001,0.19628713644958745,-0.07338873692952505
220,0.19337000000000001,0.20604891422120866,-0.03818889356803869
221,0.19337000000000001,0.20955,-0.0018287000000000513
222,0.20127,0.20926999999999998,0.0018262999999999999
223,0.20127,0.20577358480599164,0.038137908539684705
224,0.20127,0.19602484336411136,0.07329071602710399
225,0.20127,0.18031998624996948,0.1062166221949315
226,0.20127,0.159136197599938,0.13591519004557023
227,0.20127,0.1331171361126339,0.16148404362307903
228,0.20127,0.1030533778050685,0.18214628624996945
229,0.20127,0.06985839476042141,0.1972741061396227
230,0.20127,0.03454079974103233,0.20640785213973786
231,0.20127,-0.001826299999999987,0.20926999999999998
232,0.20127,-0.0381379085396847,0.20577358480599164
233,0.20127,-0.07329071602710399,0.19602484336411136
234,0.20127,-0.10621662219493147,0.18031998624996948
235,0.20127,-0.13591519004557026,0.159136197599938
236,0.20127,-0.161484043623079,0.13311713611263393
237,0.20127,-0.18214628624996948,0.10305337780506846
238,0.20127,-0.1972741061396227,0.06985839476042141
239,0.20127,-0.20640785213973786,0.034540799741032295
240,0.20127,-0.20926999999999998,-0.0018262999999999743
241,0.20127,-0.20577358480599164,-0.03813790853968473
242,0.20127,-0.19602484336411136,-0.07329071602710398
243,0.20127,-0.18031998624996945,-0.10621662219493154
244,0.20127,-0.159136197599938,-0.13591519004557023
245,0.20127,-0.13311713611263393,-0.161484043623079
246,0.20127,-0.10305337780506857,-0.18214628624996942
247,0.20127,-0.06985839476042134,-0.1972741061396227
248,0.20127,-0.03454079974103231,-0.20640785213973786
249,0.20127,0.0018262999999999615,-0.20926999999999998
250,0.20127,0.03813790853968463,-0.20577358480599167
