origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3821,2e-08,500,20.0,-2.1456,0.7893600000000001,1.0955999999999998e-09,0
3822,2e-08,500,20.0,-2.1754,0.94844,4.3509999999999996e-09,0
3823,2e-08,500,20.0,-2.1634,0.8549100000000001,-2.6534000000000004e-09,0
3824,2e-08,500,20.0,-2.1181,0.48435,1.0041e-09,0
3825,2e-08,500,20.0,-2.1414,0.65766,-3.6580999999999996e-09,0
3826,2e-08,500,20.0,-2.1248,0.42286999999999997,-2.159e-09,0
3827,2e-08,500,20.0,-2.1962,0.9884200000000001,8.7977e-10,0
3828,2e-08,500,20.0,-2.1921,0.9276399999999999,4.129e-09,0
3829,2e-08,500,20.0,-2.1593,0.69212,-4.2176e-09,0
3830,2e-08,500,20.0,-2.1842,0.84925,2.7574e-10,0
3831,2e-08,500,20.0,-2.134,0.38453000000000004,3.7107999999999997e-10,0
3832,2e-08,500,20.0,-2.1646,0.6571899999999999,1.9704e-09,0
3833,2e-08,500,20.0,-2.2073,0.93973,-5.540599999999999e-10,0
3834,2e-08,500,20.0,-2.1828,0.69184,-5.1473e-09,0
3835,2e-08,500,20.0,-2.2093,0.91725,1.782e-09,0
3836,2e-08,500,20.0,-2.1451,0.25225,-1.0437e-09,0
3837,2e-08,500,20.0,-2.1496,0.29256,-2.5928e-09,0
3838,2e-08,500,20.0,-2.2,0.7870699999999999,-5.305e-10,0
3839,2e-08,500,20.0,-2.2215,0.92885,1.1565000000000001e-10,0
3840,2e-08,500,20.0,-2.2004,0.70822,-4.970199999999999e-09,0
3841,2e-08,500,20.0,-2.1922,0.57158,3.1661999999999997e-09,0
3842,2e-08,500,20.0,-2.2214,0.8333799999999999,-6.806600000000001e-11,0
3843,2e-08,500,20.0,-2.2284,0.89176,4.360600000000001e-09,0
3844,2e-08,500,20.0,-2.2185,0.7261,-2.8211e-11,0
3845,2e-08,500,20.0,-2.217,0.71578,2.7553e-10,0
3846,2e-08,500,20.0,-2.265,1.0174,-3.2116999999999996e-09,0
3847,2e-08,500,20.0,-2.2444,0.9002700000000001,1.0178e-09,0
3848,2e-08,500,20.0,-2.2037,0.39666999999999997,-1.1497999999999999e-09,0
3849,2e-08,500,20.0,-2.2037,0.26857,-1.8292e-09,0
3850,2e-08,500,20.0,-2.2071,0.37275,3.0023e-10,0
3851,2e-08,500,20.0,-2.2529,0.86325,2.0388e-10,0
3852,2e-08,500,20.0,-2.2722,1.0073,1.3205e-09,0
3853,2e-08,500,20.0,-2.2272,0.45395,6.4375e-10,0
3854,2e-08,500,20.0,-2.2603,0.8219799999999999,-8.4198e-12,0
3855,2e-08,500,20.0,-2.2645,0.8356,1.6180999999999998e-09,0
3856,2e-08,500,20.0,-2.2412,0.5079199999999999,4.3506e-09,0
3857,2e-08,500,20.0,-2.2721,0.81699,3.4124e-09,0
3858,2e-08,500,20.0,-2.2528,0.59873,-2.3487999999999997e-10,0
3859,2e-08,500,20.0,-2.2854,0.91696,3.605e-09,0
3860,2e-08,500,20.0,-2.2703,0.6905399999999999,-4.6298999999999995e-09,0
3861,2e-08,500,20.0,-2.26,0.53182,8.5471e-10,0
3862,2e-08,500,20.0,-2.2853,0.79365,-1.6847e-09,0
3863,2e-08,500,20.0,-2.3023,0.97809,4.7906e-09,0
3864,2e-08,500,20.0,-2.2946,0.83949,5.307400000000001e-10,0
3865,2e-08,500,20.0,-2.3031,0.94709,-3.8472e-09,0
3866,2e-08,500,20.0,-2.3053,0.9107,-1.6404000000000002e-09,0
3867,2e-08,500,20.0,-2.285,0.55503,6.418600000000001e-10,0
3868,2e-08,500,20.0,-2.3108,0.8997200000000001,3.1486999999999997e-09,0
3869,2e-08,500,20.0,-2.3333,1.0286,1.228e-09,0
3870,2e-08,500,20.0,-2.2899,0.45173,-1.2007e-09,0
3871,2e-08,500,20.0,-2.2902,0.46461,1.5281e-09,0
3872,2e-08,500,20.0,-2.3227,0.8981399999999999,-6.7873e-09,0
3873,2e-08,500,20.0,-2.2944,0.34964,-6.0699e-10,0
3874,2e-08,500,20.0,-2.334,0.96901,-2.8801e-09,0
3875,2e-08,500,20.0,-2.327,0.8485,5.7809e-09,0
3876,2e-08,500,20.0,-2.3289,0.83344,-3.8676e-09,0
3877,2e-08,500,20.0,-2.303,0.22089,8.268799999999999e-10,0
3878,2e-08,500,20.0,-2.3225,0.56643,9.5427e-10,0
3879,2e-08,500,20.0,-2.3394,0.83399,-4.4603e-09,0
3880,2e-08,500,20.0,-2.3237,0.41525,1.7127e-09,0
3881,2e-08,500,20.0,-2.3564,0.9986200000000001,2.354e-09,0
3882,2e-08,500,20.0,-2.3252,0.38321,6.8392e-10,0
3883,2e-08,500,20.0,-2.3316,0.49427,1.8521999999999999e-09,0
3884,2e-08,500,20.0,-2.3427,0.61242,-4.7569e-10,0
3885,2e-08,500,20.0,-2.491,1.0524,1.0427e-09,0
3886,2e-08,500,20.0,-2.3676,0.91727,-1.7037e-09,0
3887,2e-08,500,20.0,-2.3395,0.26485,5.505599999999999e-10,0
3888,2e-08,500,20.0,-2.3701,0.79916,1.6789e-09,0
3889,2e-08,500,20.0,-2.3685,0.76037,4.7854e-10,0
3890,2e-08,500,20.0,-2.3823,0.97877,6.1698e-09,0
3891,2e-08,500,20.0,-2.3906,1.0197,7.020199999999999e-09,0
3892,2e-08,500,20.0,-2.3652,0.41366,1.3427999999999997e-09,0
3893,2e-08,500,20.0,-2.3774,0.60019,1.2657e-09,0
3894,2e-08,500,20.0,-2.3966,0.90504,-5.1219999999999995e-09,0
3895,2e-08,500,20.0,-2.399,0.9099299999999999,2.3786999999999997e-09,0
3896,2e-08,500,20.0,-2.3813,0.56088,-7.671699999999999e-10,0
3897,2e-08,500,20.0,-2.4029,0.8507,3.8696999999999996e-09,0
3898,2e-08,500,20.0,-2.3862,0.45813999999999994,-1.3761999999999999e-09,0
3899,2e-08,500,20.0,-2.4057,0.8166399999999999,-1.6291e-09,0
3900,2e-08,500,20.0,-2.4254,1.0389,4.3072e-09,0
3901,2e-08,500,20.0,-2.4211,0.98519,-1.8704e-09,0
3902,2e-08,500,20.0,-2.3986,0.34968,2.0382e-09,0
3903,2e-08,500,20.0,-2.4149,0.65069,-2.4556999999999997e-09,0
3904,2e-08,500,20.0,-2.4277,0.98967,2.8810000000000003e-09,0
3905,2e-08,500,20.0,-2.4132,0.21771,-7.6813e-10,0
3906,2e-08,500,20.0,-2.4354,0.9218700000000001,1.2722999999999998e-09,0
3907,2e-08,500,20.0,-2.4233,0.48391000000000006,-6.2679e-10,0
3908,2e-08,500,20.0,-2.4395,0.8338899999999999,9.439799999999999e-10,0
3909,2e-08,500,20.0,-2.4336,0.72344,-3.3896e-09,0
3910,2e-08,500,20.0,-2.4354,0.53657,-1.3054000000000003e-09,0
3911,2e-08,500,20.0,-2.4452,0.75303,1.0059e-09,0
3912,2e-08,500,20.0,-2.4575,1.0371,-2.9849000000000003e-09,0
3913,2e-08,500,20.0,-2.4373,0.25001999999999996,-1.2922e-09,0
3914,2e-08,500,20.0,-2.4588,0.8321700000000001,-3.0884000000000002e-09,0
3915,2e-08,500,20.0,-2.4623,0.81689,-4.4608e-10,0
3916,2e-08,500,20.0,-2.4568,0.5878399999999999,-2.6064e-09,0
3917,2e-08,500,20.0,-2.4730000000000003,1.028,3.4984e-09,0
3918,2e-08,500,20.0,-2.4706,0.80805,-6.2717e-09,0
3919,2e-08,500,20.0,-2.4682,0.5223800000000001,-2.8039000000000002e-09,0
3920,2e-08,500,20.0,-2.4724,0.52999,1.0995e-09,0
3921,2e-08,500,20.0,-2.4822,0.7351300000000001,-1.4392e-09,0
3922,2e-08,500,20.0,-2.4859,0.90295,-4.4602e-09,0
3923,2e-08,500,20.0,-2.489,0.86144,3.9686e-09,0
3924,2e-08,500,20.0,-2.4874,0.9179799999999999,-2.4380000000000003e-10,0
