temperature,pressure
590.786,591.414
591.409,593.714
593.366,599.538
509.572,334.93
471.431,285.732
510.996,337.902
495.374,317.748
509.34,335.86
505.946,331.943
497.088,321.016
477.66,296.178
511.081,339.875
512.855,342.427
497.985,322.78
513.454,343.925
512.432,341.752
513.568,344.318
511.741,341.431
514.094,345.538
513.561,344.379
499.885,326.606
450.704,263.444
487.349,314.129
517.472,355.457
490.52,320.26
519.441,360.447
366.373,154.709
520.472,363.088
521.528,365.814
523.544,370.387
521.312,367.99
525.872,377.223
526.996,380.191
529.297,386.373
520.756,378.044
502.438,351.566
437.405,257.363
532.451,402.899
539.131,414.373
540.737,419.48
505.036,325.038
505.036,325.038
498.689,316.403
503.474,322.914
503.817,323.41
506.506,327.2
477.515,288.72
506.566,327.315
481.835,294.412
495.591,312.467
505.993,326.538
483.809,297.03
430.394,230.59
483.809,297.03
505.14,325.381
502.877,322.298
506.543,327.357
468.578,277.615
503.656,323.422
506.907,327.976
440.272,242.552
506.889,327.971
499.938,318.468
499.938,318.468
506.889,327.971
491.907,307.888
446.69,250.454
475.971,287.231
506.989,328.186
504.866,325.217
507.078,328.367
494.382,311.251
504.866,325.217
449.825,254.35
452.893,258.192
506.997,328.251
480.313,292.941
452.893,258.192
482.303,295.576
506.417,327.429
506.867,328.081
282.082,61.8009
484.176,298.062
505.547,326.259
503.169,323.048
484.176,298.062
461.651,269.287
425.74,225.277
503.921,324.138
391.262,184.943
504.253,324.625
506.838,328.168
489.103,304.651
490.527,306.566
469.565,279.478
504.253,324.625
469.565,279.478
507.35,329.007
501.596,321.22
507.097,328.646
501.596,321.22
476.485,288.515
366.991,156.971
502.108,321.944
507.515,329.4
506.77,328.246
503.413,323.81
484.069,298.558
498.674,317.674
499.369,318.641
507.581,329.608
507.734,329.903
507.369,329.323
506.772,328.53
507.801,330.093
387.303,180.004
432.309,233.459
507.829,330.143
473.225,285.005
438.073,240.595
505.744,327.308
494.172,312.259
507.934,330.439
507.299,329.461
508.065,330.682
476.899,289.915
446.066,250.685
508.069,330.757
496.645,315.751
498.659,318.714
414.609,212.232
507.607,330.634
507.607,330.634
461.044,270.478
508.79,332.588
464.387,275.17
507.124,331.045
425.781,226.338
491.241,310.522
586.736,572.126
587.989,575.92
585.994,570.518
593.301,599.468
591.706,595.01
591.965,595.85
591.877,595.439
591.482,594.144
591.066,592.743
591.649,594.245
590.965,592.322
590.572,591.008
590.332,590.168
590.746,590.853
589.929,586.449
589.872,588.473
589.543,587.211
589.543,587.211
589.197,585.611
589.22,586.218
588.706,584.29
588.79,584.697
588.795,584.709
588.036,581.979
587.399,578.241
587.159,578.736
587.105,578.459
587.324,579.465
587.821,581.248
586.505,576.524
586.029,573.809
587.636,580.578
587.718,580.866
586.912,578.048
585.927,573.654
585.955,573.788
586.646,577.092
