"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3016,2e-08,500,20,15.344,0.17641,3.8413e-10
2959,1.5945e-07,500,159.45,15.072,0.90121,-1.8525e-09
3032,2e-08,500,20,15.039,0.71913,4.0145e-09
2871,2e-08,500,20,15.008,0.75928,-4.8221e-09
2986,2e-08,500,20,15.107,1.4514e-06,1.0817e-16
3053,2e-08,500,20,15.036,0.12643,9.6182e-10
2629,1.1034e-06,500,1103.4,15.094,1.092,4.4079e-09
2860,2e-08,500,20,14.922,0.63348,3.3275e-09
3023,1.4253e-07,500,142.53,15.344,4.126,-1.1072e-08
3116,2e-08,500,20,15.045,0.41389,-5.412e-10
3117,2e-08,500,20,14.99,9.4963e-07,6.2448e-17
3018,2e-08,500,20,14.967,0.24146,5.4929e-10
3136,2e-08,500,20,14.887,0.067801,-4.9547e-10
3077,2e-08,500,20,14.869,0.066469,-2.2231e-10
3089,2e-08,500,20,15.01,0.0016745,2.1176e-22
3063,2e-08,500,20,14.742,0.31219,2.4554e-09
3031,2e-08,500,20,14.718,0.33103,1.3035e-10
3105,2e-08,500,20,14.726,6.3671e-07,3.4266e-18
2837,1.1733e-07,500,117.33,14.935,5.9865,2.2399e-09
3129,2e-08,500,20,14.687,0.085177,1.5172e-10
2978,2e-08,500,20,14.648,0.43776,2.7958e-09
2983,2e-08,500,20,14.686,0.072297,-2.9156e-10
3145,2e-08,500,20,14.669,0.043879,1.1551e-10
3138,2e-08,500,20,14.591,0.67109,-2.142e-09
3005,2e-08,500,20,14.61,0.36116,1.5529e-09
3024,2e-08,500,20,14.589,0.21411,-8.3287e-10
3071,2e-08,500,20,14.511,0.10302,2.4916e-10
2804,1.2245e-07,500,122.45,14.625,1.3932,1.7775e-09
3068,2e-08,500,20,14.312,0.69303,-1.3956e-09
3126,2e-08,500,20,14.551,0.095094,3.9257e-10
3122,2e-08,500,20,14.558,0.18746,1.4442e-10
2909,4.8669e-07,500,486.69,14.533,1.2298,3.8762e-09
3015,2e-08,500,20,14.477,0.2328,-4.017e-10
2888,2e-08,500,20,14.454,0.54355,-3.1485e-09
2726,2e-08,500,20,14.437,0.15172,-6.4463e-10
3097,2e-08,500,20,14.434,7.2957e-07,3.9692e-17
2820,2e-08,500,20,14.403,5.9089e-07,-3.2146e-17
2774,1.2097e-06,500,1209.7,14.298,0.98147,-3.2531e-09
2802,9.4612e-07,500,946.12,14.3,1.029,7.6525e-09
3119,2e-08,500,20,14.305,0.17916,1.4447e-10
3161,2e-08,500,20,14.241,0.21405,-2.9279e-10
2901,1.8996e-07,500,189.96,14.287,4.0477,-6.0198e-09
3104,2e-08,500,20,14.258,2.6716e-07,-1.4633e-17
2945,2e-08,500,20,14.248,0.74047,5.9908e-09
3142,2e-08,500,20,14.248,5.4012e-07,-2.9585e-17
3076,2e-08,500,20,14.226,0.29346,-1.2955e-09
2911,2e-08,500,20,14.251,0.29885,-2.1061e-10
2767,7.9575e-07,500,795.75,14.132,1.1147,1.8773e-09
3164,2e-08,500,20,14.095,0.080174,-5.6907e-10
3163,2e-08,500,20,14.092,0.16065,-4.7351e-10
2980,7.9298e-07,500,792.98,14.05,1.1738,-3.1662e-09
3013,2e-08,500,20,14.032,0.78298,-5.1048e-09
2842,4.2444e-07,500,424.44,13.993,0.80589,1.0837e-09
2785,2e-08,500,20,13.992,0.57702,-1.9746e-10
3159,2e-08,500,20,13.993,0.068938,2.7107e-10
2839,4.5393e-07,500,453.93,13.984,1.3064,-3.4087e-09
299,2e-08,500,20,13.949,0.82194,-1.141e-09
3051,2e-08,500,20,13.963,0.25816,8.4326e-10
3133,3.3217e-07,500,332.17,13.918,1.0366,1.7714e-09
2786,7.9479e-07,500,794.79,13.915,1.0908,5.1505e-09
3038,2e-08,500,20,13.903,0.042956,1.0336e-11
2836,2e-08,500,20,13.848,0.031019,4.052e-11
3130,2e-08,500,20,13.85,0.33379,-6.029e-10
2818,4.9718e-07,500,497.18,13.82,1.2968,2.2457e-09
2935,2e-08,500,20,13.782,0.25522,1.632e-09
2869,2e-08,500,20,13.757,0.58179,-3.7132e-09
3162,2e-08,500,20,13.737,0.013785,2.2847e-12
2784,2e-08,500,20,13.653,0.58799,-6.5499e-10
2498,8.1062e-07,500,810.62,18.331,1.0145,3.1197e-09
2797,2e-08,500,20,18.376,0.16585,-6.3208e-10
2922,2e-08,500,20,18.263,0.5332,1.8875e-09
2918,2e-08,500,20,18.36,0.203,-9.578e-10
2734,2e-08,500,20,18.338,0.035616,-6.0633e-11
2668,2e-08,500,20,18.166,0.50412,-4.5927e-09
2990,2e-08,500,20,18.301,0.18985,7.1285e-10
2883,2e-08,500,20,18.252,1.8118e-06,9.9137e-16
2870,1.0455e-06,500,1045.5,18.213,1.049,4.9019e-09
2970,2e-08,500,20,18.222,0.047446,8.0753e-11
2908,2e-08,500,20,18.147,0.15108,-2.8213e-10
2934,2e-08,500,20,18.085,0.26747,-1.3329e-09
2973,2e-08,500,20,18.108,0.033732,-1.4199e-10
2902,1.0052e-06,500,1005.2,18.066,1.0407,-2.9326e-09
3004,2e-08,500,20,18.087,6.0425e-08,1.1923e-17
2975,2e-08,500,20,17.947,0.14211,-7.2017e-10
2464,7.2113e-07,500,721.13,18.222,1.4251,-1.4985e-09
2940,2e-08,500,20,17.949,0.44239,-3.6172e-09
2954,2e-08,500,20,17.915,0.20732,-8.0816e-10
2981,2e-08,500,20,17.911,2.0806e-06,-2.0271e-16
2985,2e-08,500,20,17.847,0.30332,8.8528e-10
3012,2e-08,500,20,17.746,0.12063,7.2394e-10
2968,2e-08,500,20,17.788,0.33901,2.0097e-09
2961,2e-08,500,20,18.037,0.63752,6.1369e-10
2998,2e-08,500,20,17.632,0.34809,-8.0966e-11
2543,5.8621e-08,500,58.621,17.687,0.87066,1.846e-09
2926,2e-08,500,20,17.563,0.8094,4.5917e-09
3035,2e-08,500,20,17.789,0.063153,-3.879e-10
2933,2e-08,500,20,17.555,0.054996,1.6017e-10
2932,2e-08,500,20,17.516,0.17131,5.2966e-10
2885,5.1513e-07,500,515.13,17.495,1.4834,-4.8063e-09
2849,6.2631e-07,500,626.31,17.458,1.2268,7.8045e-09
2995,2e-08,500,20,17.325,0.21816,2.3262e-10
2936,2e-08,500,20,17.318,0.25323,-1.0528e-09
2931,2e-08,500,20,17.287,0.28768,-2.6435e-09
3029,2e-08,500,20,17.271,0.21882,5.0739e-10
2757,2e-08,500,20,17.133,0.51379,6.2868e-10
2923,2e-08,500,20,17.139,0.17977,2.2572e-10
2725,2e-08,500,20,16.992,0.18786,-1.452e-09
2924,2e-08,500,20,17.125,0.19207,-1.3046e-10
3021,2e-08,500,20,17.028,0.51199,-2.5822e-09
2863,2e-08,500,20,17.035,0.0043572,3.7369e-27
2958,2e-08,500,20,17.086,5.2585e-07,5.8268e-17
2974,2e-08,500,20,17.06,0.047628,-2.909e-11
2807,2e-08,500,20,17.07,9.6708e-06,1.0716e-15
3027,2e-08,500,20,17.116,0.092283,-2.8894e-10
2991,2e-08,500,20,17.062,0.239,7.4215e-10
2992,2e-08,500,20,17.192,0.22071,1.8042e-10
2880,2e-08,500,20,16.983,0.28275,-5.8729e-10
2865,5.8269e-07,500,582.69,17.038,1.279,-4.605e-09
2695,1.329e-07,500,132.9,16.934,6.5454,-2.7181e-08
2816,2e-08,500,20,16.857,0.3655,-3.339e-09
2882,1.1661e-06,500,1166.1,16.942,0.83833,-1.6109e-09
2989,2e-08,500,20,16.926,0.030827,7.3956e-11
3022,2e-08,500,20,16.903,0.095754,-2.8424e-10
2806,8.5926e-07,500,859.26,16.833,0.74667,3.3276e-09
2563,1.6958e-07,500,169.58,16.742,10.085,2.0353e-08
3054,2e-08,500,20,16.863,0.27615,-3.0879e-10
3050,2e-08,500,20,16.796,0.36876,3.0806e-10
2960,2e-08,500,20,16.694,0.66733,-4.7355e-09
2941,2e-08,500,20,16.656,0.74099,-6.4487e-09
2912,2e-08,500,20,16.681,0.0016002,0
3003,2e-08,500,20,16.581,0.22348,1.4443e-09
3041,2e-08,500,20,16.618,3.9724e-07,-3.4462e-18
3062,2e-08,500,20,16.5,0.064527,1.1379e-10
2910,1.2751e-06,500,1275.1,16.421,0.9318,-2.1221e-09
2868,2e-08,500,20,16.46,0.41049,-1.8186e-09
2984,2e-08,500,20,16.423,0.81621,6.0338e-09
2609,2e-08,500,20,16.426,0.3808,-7.4157e-10
2925,9.0929e-07,500,909.29,16.419,1.1492,6.356e-10
2987,2e-08,500,20,16.379,0.39498,-7.5567e-10
